                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Character,DelayAtEnd,Expression,French,English,German,Spanish,Brasilian,Chinese,Italian,Russian,Korean,Japanese
MenuQuit02,Narrator,0,,Merci de votre coopération.,İşbirliğin için teşekkürler.,Vielen Dank für die Zusammenarbeit.,Gracias por tu cooperación.,Obrigado pela cooperação.,谢谢合作。,Grazie per la collaborazione.,Спасибо за сотрудничество.,협력해줘서 고마워요.,ご協力ありがとよ。
MenuQuit03,Narrator,0,,Pensez à me désinstaller !,Beni silmeyi unutma!,"Vergiss nicht, mich zu deinstallieren!",¡No olvides desinstalarme!,Não se esqueça de me desinstalar!,不要忘了卸载我！,Ricordati di disinstallarmi!,Не забудь меня удалить! ,게임 삭제 잊지 말고요!,アンインストールも忘れるな！
Chap01Intro01,Narrator,0.5,,Mais qui tape comme ça ?,Tüm bu tıklama da ne böyle?,Wer klopft denn da?,¿Quién está dando esos golpes?,Quem está fazendo essa barulheira danada?,谁在敲敲敲的？,Chi sta bussando?,Кто это стучит?,누가 자꾸 두드리는 거야?,誰だ、ドンドンうるさいな。
Chap01Intro02,Narrator,0.2,,Oh ! Il y a quelqu'un !,Hey! Burada birisi var!,Hey! Hier drin ist jemand!,"¡Vaya, aquí hay alguien!",Ei! Tem alguém aqui!,喂！这里是有人的！,Ehi! C'è qualcuno!,Эй! Здесь кто-то есть!,뭐야! 사람 있잖아!,だから、入ってるってば！
Chap01Intro03,Narrator,0.5,,Juste une minute s'il vous plait !,Bana bir dakika verin lütfen!,"Einen Moment, bitte!","¡Un momentito, por favor!","Só um instante, por favor!",请等一下！,"Solo un minuto, per favore!","Минутку, пожалуйста!","잠시만요, 잠시만!",ちょっと待ってろ！
Chap01Intro04,Narrator,0.3,,Où est donc mon speech ?,Konuşmam nerede?,Wo ist meine Rede?,¿Dónde está mi discurso?,Cadê o meu discurso?,我的讲稿在哪儿呢？,Dov'è il mio discorso?,Где моя речь?,대사집 어디갔지?,カンペはどこだ？
Chap01Intro05,Narrator,1,,Ha... le voilà.,Ah... işte buradaymış!,Oh ... da ist sie ja!,"¡Ah, aquí está!",Ah... aqui está!,哦...在这里！,Oh... eccolo qui!,А... Вот она!,아... 여기 있다!,あ… ここか！
Chap01Intro06,Narrator,1.5,,J'ai failli oublier le titre.,Neredeyse başlığı unutuyordum.,Ich hätte beinahe den Titel vergessen.,Casi me olvido del título.,Eu quase esqueci o título.,我差点都忘记标题了。,Avevo quasi dimenticato il titolo.,Чуть не забыл заголовок.,제목을 까먹을 뻔 했네.,タイトル出すの忘れてた。
Chap01Intro06b,Narrator,0,,Pas de panique. Pas de panique...,Panik yapma. Panik yapma...,Keine Panik. Keine Panik.,Tranquilízate. Tranquilízate...,Não entre em pânico. Não entre em pânico...,不要慌。不要慌...,Niente panico. Niente panico...,Без паники. Без паники...,긴장하지 말자. 긴장하지 말자...,落ち着け、落ち着け…
Chap01Intro07,Narrator,0.2,,Bonjour utilisateur !,"Merhaba, kullanıcı!","Hallo, User!","¡Hola, usuario!","Olá, usuário!",你好，用户！,"Ciao, utente!","Здравствуйте, пользователь!","안녕하십니까, 유저님!",やあ、ユーザー！
Chap01Intro07b,Narrator,0.2,,C'est le programme qui vous parle.,Şu anda program konuşuyor.,Hier spricht das Programm.,Te habla el programa.,Aqui é o programa falando.,你好！我是程序。,Questo è il programma che ti parla.,Говорит программа.,프로그램에서 알려드립니다.,俺はプログラムだ。
Chap01Intro08,Narrator,0.2,,J'ai de mauvaises nouvelles.,Sana kötü haberlerim var.,Ich habe schlechte Neuigkeiten.,Tengo malas noticias.,Eu tenho más notícias para você.,我有坏消息告诉你。,Ho delle brutte notizie.,У меня плохие новости.,안타까운 소식이 있습니다.,残念な知らせがある。
Chap01Intro09,Narrator,0.2,,"En fait, il n'y a pas de jeu.","Aslında, burada bir oyun yok.","Ehrlich gesagt, gibt es hier kein Spiel.","En realidad, no hay juego.","Na verdade, não tem jogo nenhum aqui.",这里其实没有游戏。,"In effetti, non c'è nessun gioco.","Вообще, здесь нет игры.","사실, 여긴 게임 같은 거 없어요.",実は、ここにゲームはない。
Chap01Intro10,Narrator,0.5,,"La crise, l'indiepocalypse, blablabla tout ça...","Ekonomik kriz, indieyamet, falan filan...tüm bunlardan dolayı.","Die Finanzkrise, die Indiepokalypse, bla bla bla ... das ganze Zeug eben.","La crisis financiera, el apocalipsis indie, bla, bla, bla... todo eso.","A crise financeira, o indiepocalipse, blá, blá, blá... essa balela toda.",都是因为什么金融危机啦，独立游戏危机啦，这呀那呀的事儿。,"La crisi finanziaria, l'indiepocalypse, blah blah blah blah... tutta questa roba.","Финансовый кризис, инди-апокалипсис, бла-бла-бла... Всё вот это.","금융 위기니, 인디게임계의 종말이니, 어쩌고 저쩌고... 뭐 그런 거죠.",資金難やら、ブーム衰退やら、色々あってな。
Chap01Intro11,Narrator,1,,J'espère que vous n'êtes pas trop déçu.,Umarım çok hayal kırıklığına uğramamışsındır.,"Ich hoffe, du bist nicht allzu sehr enttäuscht.",Espero que no estés demasiado decepcionado.,Eu espero que não esteja muito decepcionado.,希望你不要太失望了。,Spero tu non sia troppo deluso.,"Надеюсь, вы не слишком разочарованы.",너무 실망하시진 않길 바라요.,まあ、あまり気を落とすな。
Chap01Intro12,Narrator,0.2,,Vous pouvez malgré tout regarder la télé.,Hala televizyon izleyebilir.,Du kannst ja immer noch fernsehen.,"Pero bueno, puedes ver la tele.",Você ainda pode ir assistir televisão.,去看看电视。,Puoi sempre guardare la TV.,Вы всё ещё можете посмотреть телевизор.,TV는 계속 볼 수 있잖아요.,テレビでも見ろよ。
Chap01Intro12b,Narrator,0.2,,Sortir à l'extérieur.,Dışarı çıkabilir.,Rausgehen.,Salir a dar una vuelta.,Dar uma passeada.,出去外面玩玩。,Uscire.,Погулять.,밖에 좀 나가요.,外に出かけろ。
Chap01Intro13,Narrator,1,,Lire un livre.,Kitap okuyabilirsin.,Ein Buch lesen.,Leer un libro.,Ler um livro.,看看书啊。,Leggere un libro.,Почитать книжку.,책도 읽고요.,本を読め。
Chap01Intro14,Narrator,0.3,,"Oui, il n'y a pas de jeu, mais, de vous à moi,...","Evet, burada bir oyun yok. Ama aramızda kalsın...","Ja, hier gibt es kein Spiel, aber nur unter uns ...","Pues sí, no hay juego, pero, entre nosotros...","Sim, não tem jogo nenhum aqui, mas cá entre nós...",的确就没有游戏，偷偷跟你说个事儿啊。,"È vero, non c’è nessun gioco, ma che resti tra noi...","Да, здесь нет никакой игры, но только между нами...",네. 여기 게임 없습니다. 당신이랑 나 뿐이에요...,そう、ゲームはないんだ。でも…これ内緒な。
Chap01Intro15,Narrator,0.5,,... si vous pouviez éviter de demander un remboursement.,...para iadesi istemezsen çok iyi olur?,"... verlange bitte keine Rückerstattung, geht das?","...a ser posible, no pidas que te devuelvan el dinero, ¿vale?",...você pode não pedir reembolso?,你不如就别要求退款了，好不？,"...evita di chiedere un rimborso, per favore.","...не просите возврата средств, если не сложно.",...환불 얘기는 하지 말아주세요. 알겠죠?,…返金請求しないでくれるか？
Chap01Intro16,Narrator,0.2,,"Vous savez, mon créateur a besoin de manger.","Yani, yapımcının da bir şeyler yemesi gerek.","Weißt du, mein Entwickler muss ja auch etwas essen.",Ya sabes: mi creador tiene que comer.,"Sabe como é, né, meu criador precisa comer.",跟你说呀，我的创作者也要吃饭。,"Sai, il mio creatore deve pur mangiare.","Понимаете, моему создателю нужно что-то есть.","사실, 제작자가 먹을 게 필요해요.",わかるだろ、作者も食わなきゃならん。
Chap01Intro17,Narrator,0.5,,Et de nourrir ses 12 enfants.,Ve 12 çocuğunu doyurması.,Und seine 12 Kinder ernähren.,Y mantener a sus doce hijos.,E alimentar os 12 filhos dele.,要养12个孩子。,E mantenere i suoi 12 figli.,И кормить 12 детей.,애들도 12명이나 돌봐야 하고요.,子供が12人いるし。
Chap01Intro18,Narrator,0.5,,Ainsi que sa femme... malade...,Ve eşini... eşi de hasta...,Und seine Frau ... die krank ist ...,Y a su mujer... que está enferma...,E a esposa... que está doente...,和患病的老婆。,E sua moglie... che è malata...,И жену... а она больна...,그리고 마누라는... 아파요...,そ、それと奥さんも。重い病気で…
Chap01Intro19,Narrator,0.5,,... enfin dès qu'il en aura trouvé une.,"...yani, kendine bir eş bulabilirse.","... also, wenn er denn mal eine findet.","...bueno, cuando por fin encuentre una.","...bem, quando ele finalmente achar uma.",呃，在他终于找到老婆的时候。,"...beh, quando finalmente ne troverà una.","...ну, когда он, наконец, найдёт себе жену.","...뭐, 있다면 그렇겠지만.",…とも言えない独身でな。
Chap01Intro20,Narrator,0.5,,Houlà !,Dikkat!,Vorsicht!,¡Cuidado!,Cuidado!,当心！,Attenzione!,Осторожно!,조심해요!,うわ危ない！
Chap01Intro21,Narrator,1,,Ça va tenir ce truc ?,O şey onu tutacak mı?,Hält das?,¿Eso va a aguantar?,Essa coisa vai aguentar?,那个东西能承受得住吗？,Questo coso reggerà?,Эта штука будет держаться?,잘 달려있나?,あれ、大丈夫か？
Chap01Intro22,Narrator,1.5,,Ça tient.,Dayanıyor.,Es hält.,Está aguantando.,Está aguentando.,可以的。,Regge.,"Вроде, держится.",달려 있네요.,もちこたえてるな。
Chap01Intro23,Narrator,3,,Bon ! C'est pas tout ça mais va peut-être falloir y aller.,"Eh, gayet eğlenceliydi... ama artık gitmenin zamanı geldi.","Also, das war lustig ... aber es ist jetzt Zeit zu gehen.","Bueno, ha sido divertido... pero ya es hora de despedirnos.","Bem, foi divertido... mas está na hora de ir agora.",哎，有趣是有趣的...但现在得走了。,"Beh, è stato divertente... ma è ora di andare.","Ну, было весело... но пора выходить.","뭐, 재밌었고요... 그런데 이제 가봐야겠어요.",ほら、事情はわかったろ。もう帰れよ。
Chap01Intro24,Narrator,2,,Vous pouvez quitter. Il n'y a rien à faire. Vraiment.,Çıkabilirsin. Burada yapacak hiçbir şey yok. Gerçekten.,Du kannst aufhören. Es gibt hier nichts zu tun. Ehrlich.,Ya te puedes salir. No hay nada que hacer aquí. En serio.,Você pode sair. Não tem nada pra fazer aqui. É sério.,你可以退出。在这里真的没事可做。,"Puoi uscire. Non c'è niente da fare qui, davvero.",Вы можете выйти. Здесь нечего делать. Серьёзно.,종료 하세요. 여기선 더 할 게 없어요. 정말로요.,終了しろよ。ここには何もないぞ。マジで。
Chap01Intro25,Narrator,3,,Ne touchez pas trop au titre. C'est un peu du bricolage.,Başlığa dokunmamaya çalış. İşçiliği biraz dandirik de.,"Versuch nicht, den Titel anzufassen. Er ist ein bisschen improvisiert.","Intenta no tocar el título, que quedó un poco chapucilla.","Não encoste no título, por favor. Foi meio que remendado.",尽量不要碰标题。这可是我东拼西凑修补出来的。,"Cerca di non toccare il titolo, è un po’ instabile.",Только постарайтесь не трогать заголовок. Он сделан на скорую руку.,제목은 건들지 마세요. 그거 다 수작업한 거예요.,タイトルに触るなよ。すぐバラバラになっちまう。
Chap01Intro26,Narrator,5,,Surtout le point d'exclamation. Je n'avais pratiquement plus de colle.,Özellikle de ünlem işareti. Tutkalım bitiyordu da.,Besonders das Ausrufezeichen. Mir ist der Kleber ausgegangen.,Especialmente el signo de exclamación. Me estaba quedando sin pegamento.,Aquele ponto de exclamação em especial. A cola dele está saindo.,尤其是感叹号。粘它的时候胶水不够用了。,Soprattutto il punto esclamativo. Stavo finendo la colla.,Особенно восклицательный знак. У меня клей заканчивался.,특히 저 느낌표 부분요. 풀이 다 떨어졌거든요.,「！」なんて接着剤のカスでくっつけたんだ。
Chap01Intro27,Narrator,3,,Vous êtes toujours là ?,Hala orada mısın?,Immer noch hier?,¿Sigues ahí?,Ainda está aqui?,还在吗？,Ancora lì?,Вы всё ещё здесь?,아직 있어요?,まだいるか？
Chap01Intro28,Narrator,3,,Hello !,Merhaba!,Hallo!,¡Hola!,Olááá!,你好！,Ciao!,Ку-ку!,이봐요!,おーい！
Chap01Intro29,Narrator,3,,"Allons, ne me dites pas que vous êtes AFK...",AFK olduğunu söyleme bana...,"Sag jetzt nicht, du bist AFK ...",No me digas que estás AFK...,Não me diga que você está AFK...,拜托，别告诉我你离线了。,Non dirmi che sei andato in bagno...,"Только не говорите, что вы АФК...",AFK 중인 건 아니겠죠...,まさか離席中じゃないよな。
Chap01Intro30,Narrator,5,,Vous auriez au moins pu éteindre avant de partir.,En azından gitmeden önce ışıkları kapatabilirdin.,"Du hättest wenigstens das Licht ausmachen können, bevor du gehst.",Al menos podrías haber apagado la luz antes de salir.,Você poderia ter apagado as luzes antes de ir embora pelo menos.,你至少可以在走之前把灯关掉吧。,Potevi almeno spegnere le luci prima di andartene.,"Вы хотя бы могли выключить свет перед тем, как уйти.",가기 전에 최소한 불은 끄고 가야죠.,せめて電気ぐらい消してけっての。
